datetime,saitama,chiba,tokyo,kanagawa,osaka
2010-07,33803,29212,82482,45517,37825
2010-08,35256,31783,87133,49706,41413
2010-09,31980,28756,77213,43596,36110
2010-10,32706,29043,80585,45612,38887
2010-11,31160,27132,80747,43414,37032
2010-12,31297,27652,80661,43202,35803
2011-01,27413,24779,70842,37741,31274
2011-02,29195,27146,77441,41771,34231
2011-03,71270,67982,179651,104314,86587
2011-04,56087,54637,142416,80407,69415
2011-05,36875,32665,94241,50702,43676
2011-06,30546,26690,79293,42596,36652
2011-07,31946,28309,80475,43967,36574
2011-08,36002,30933,88929,49179,42877
2011-09,31002,27198,75016,41497,34718
2011-10,33690,28968,82449,46258,39226
2011-11,30928,25930,77793,42882,35642
2011-12,29636,26617,78693,43019,36717
2012-01,26855,23682,69015,36871,32338
2012-02,30943,27758,81540,43182,36606
2012-03,71588,67102,182364,104259,83136
2012-04,57800,55807,150214,83706,71017
2012-05,35451,30468,92062,50271,42542
2012-06,29259,24541,74922,39897,34182
2012-07,34395,28762,86041,46538,38943
2012-08,33272,29237,85500,46076,39811
2012-09,27957,24047,69294,37773,31478
2012-10,35604,30902,91246,50359,42346
2012-11,30068,24534,76377,41263,34465
2012-12,30177,26030,79425,43401,35785
2013-01,26820,23233,69997,37163,31406
2013-02,30212,26891,79138,41843,33195
2013-03,70618,64671,181237,100161,81824
2013-04,62803,59331,161138,88182,76195
2013-05,34010,29097,86854,47268,41290
2013-06,28419,24030,72129,38772,32062
2013-07,37514,31714,94311,50435,42379
2013-08,35087,30259,89821,47334,40948
2013-09,32885,28011,82479,44215,36336
2013-10,35817,31440,93679,49512,42233
2013-11,31550,26499,82181,42731,35382
2013-12,31751,27249,85561,44174,37069
2014-01,30157,25749,78645,39588,33638
2014-02,33020,27977,85944,43875,36757
2014-03,79551,73885,206159,109989,91951
2014-04,61408,57843,164364,85663,76707
2014-05,34441,29114,88859,45737,40204
2014-06,32209,27249,84211,43519,37066
2014-07,36261,30381,92145,47508,40311
2014-08,33189,28187,83977,44221,36943
2014-09,34159,29162,86704,45561,38256
2014-10,35525,30684,90615,47103,41425
2014-11,29125,24107,74737,38505,32167
2014-12,32329,27390,83823,44153,35722
2015-01,30619,25927,78566,39632,33687
2015-02,32462,27960,87514,44750,36613
2015-03,82425,77577,220597,116420,94658
2015-04,62268,57223,163524,85870,75720
2015-05,33711,29126,89813,45441,40459
2015-06,34900,29942,92010,47722,40755
2015-07,37105,31409,93097,47949,40926
2015-08,35351,30038,91669,47446,40760
2015-09,37041,33608,96966,48920,42064
2015-10,38089,33483,101923,50128,44234
2015-11,32225,27236,83445,42606,35694
2015-12,32629,28242,87743,44843,39004
2016-01,29854,26137,78963,39530,33784
2016-02,35215,30785,94476,47618,39510
2016-03,80508,76435,214056,111860,93478
2016-04,58591,54731,156396,80276,71266
2016-05,37001,32027,97200,50077,43825
2016-06,33080,29122,86574,44314,37852
2016-07,35011,29171,88496,44997,38038
2016-08,37293,31830,96719,49817,43063
2016-09,33151,28245,86038,42381,36471
2016-10,35931,30348,91827,46067,39450
2016-11,32184,27831,85234,42949,36413
2016-12,31913,27303,85583,44071,36149
2017-01,30911,26780,81579,40943,33851
2017-02,33864,29854,90816,45427,37207
2017-03,84246,77675,221381,114937,93582
