datetime,tokyo,saitama,kanagawa,chiba
2010/7/1,0.5,0.5,0,0
2010/7/2,0,0,0,0
2010/7/3,1,1,3,0
2010/7/4,11,7,6.5,1.5
2010/7/5,3,31,0,1
2010/7/6,0.5,1,0,0
2010/7/7,6,4,14.5,14
2010/7/8,0,0,0,0
2010/7/9,24,8.5,21,7
2010/7/10,0,0,0,0
2010/7/11,5,0.5,0.5,1
2010/7/12,2.5,0.5,0,0
2010/7/13,2.5,1,21.5,6.5
2010/7/14,1.5,1.5,0,1.5
2010/7/15,0,0,0,0
2010/7/16,0,0,0,0
2010/7/17,0,0,0,0
2010/7/18,0,0,0,0
2010/7/19,0,0,0,0
2010/7/20,0,0,0,0
2010/7/21,0,0,0,0
2010/7/22,0,5,0,0
2010/7/23,1,2,2,5
2010/7/24,0,1,0,0
2010/7/25,0,2,0,0
2010/7/26,0.5,2.5,0,0
2010/7/27,0,0,0,0
2010/7/28,0,0,0,0
2010/7/29,6.5,2,27,12
2010/7/30,4.5,5.5,14,6
2010/7/31,0,0,0,0
2010/8/1,0,0,0,0
2010/8/2,0,0,0.5,0
2010/8/3,0,0,0,0
2010/8/4,0,0,0,0
2010/8/5,0,0,0,0
2010/8/6,0,0,0,0
2010/8/7,0,0,0,0
2010/8/8,0,0,5,0
2010/8/9,24.5,24.5,49.5,6.5
2010/8/10,2,0.5,0,1.5
2010/8/11,0,0,0,0
2010/8/12,0.5,1,1.5,1.5
2010/8/13,0,0,0,0.5
2010/8/14,0,0,0,0
2010/8/15,0,0,0,0
2010/8/16,0,0,0,0
2010/8/17,0,0,0,0
2010/8/18,0,0,0,0
2010/8/19,0,0,0,0
2010/8/20,0,0,0,0
2010/8/21,0,0,0,0
2010/8/22,0,0,0,0
2010/8/23,0,0,0,0
2010/8/24,0,0,0,0
2010/8/25,0,0,0,0
2010/8/26,0,0,0,0
2010/8/27,0,0,0,0
2010/8/28,0,0,0,0
2010/8/29,0,0,0,0
2010/8/30,0,0,0,0
2010/8/31,0,0,0,0
2010/9/1,0,0,0,0
2010/9/2,0,0,0,0
2010/9/3,0,0,0,0
2010/9/4,0,0,0,0
2010/9/5,0,0,0,0
2010/9/6,0,0,0,0
2010/9/7,0,0,0,0
2010/9/8,102,19.5,81,164
2010/9/9,1,0,0,3.5
2010/9/10,0,0,0,0
2010/9/11,0,0,0,0
2010/9/12,0,0,0,0
2010/9/13,1,20.5,0,39.5
2010/9/14,3,5,17.5,0
2010/9/15,1.5,0,5,0
2010/9/16,98,70,53,73
2010/9/17,0,0,0,0
2010/9/18,0,0,0,0
2010/9/19,0,0,0,0
2010/9/20,0.5,0,0,0
2010/9/21,0,0,0,0
2010/9/22,0,0,0,0
2010/9/23,59.5,45,29.5,28
2010/9/24,4.5,0.5,7.5,7
